Node,Root,Headword,Buck root,Index,Buck Head
n21486,شأف,شَئِفَتْ رِجْلُهُ,$A^f,0,$ay^ifato rijoluhu

n21491,شأف,رِجْلٌ مَشْؤُوفَةٌ,$A^f,1,rijolN ma$ow^uwfapN

n21492,شأف,شُئِمَ عَلَيْهِمْ,$A^f,0,$uy^ima Ealayohimo

n21493,شأف,شَائِمْ بِأَصْحَابِكَ,$A^f,0,$aAy^imo biA^aSoHaAbika

n21496,شأف,تشآءموا بِهِ,$A^f,0,t$A='mwA bihi

n21516,شأو,تَشَآءَى مَا بَيْنَهُمَا,$A^w,0,ta$aA='aY maA bayonahumaA

n23442,شيأ,أَشَآءَهُ إِلَيْهِ,$yA^,0,A^a$aA='ahu A_ilayohi

n23550,شيق,شِقْتُ الطُّنُبَ إِلَى الوَتِدِ,$yq,0,$iqotu AlT~unuba A_ilaY Alwatidi

n13604,ذأب,تذآءب لِلنّاقَةِ,*A^b,0,t*A='b liln~Aqapi

n13618,ذأر,ذَئِرَ عَلَيْهِ,*A^r,0,*ay^ira Ealayohi

n14010,ذالى,رِشَآءٌ مُذْلَوْلٍ,*AlY,0,ri$aA='N mu*olawolK

n14177,ذوق,أَذَقْتُهُ الطَّعَامَ,*wq,0,A^a*aqotuhu AlT~aEaAma

n134,ابى,مَآءٍ مَأْبَاةٌ,AbY,1,maA='K maA^obaApN

n171,اتى,أُتِيَّةُ الجُرْحِ,AtY,0,A^utiy~apu AljuroHi

n173,اتى,إِتِيَتُهُ الجُرحِ,AtY,0,A_itiyatuhu AljurHi

n180,اتى,طَرِيقٌ مِئْتآءٌ,AtY,1,TariyqN miy^otA='N

n181,اتى,فَرَسٌ مُسْتَأْتٍ,AtY,1,farasN musotaA^otK

n398,اخو,أَخَّيْتُ لِلدَّابَّةِ,Axw,0,A^ax~ayotu lild~aAb~api

n636,ارى,أَرَتِ الدَّابَّةُ مَرْبَطَهَا,ArY,0,A^arati Ald~aAb~apu marobaTahaA

n637,ارى,أَرَّيْتُ لِلدَّابَّةِ,ArY,0,A^ar~ayotu lild~aAb~api

n639,ارى,تأري بِالمَكَانِ,ArY,0,tA^ry biAlmakaAni

n711,ازى,نَاقَةٌ أَزِيَةٌ,AzY,1,naAqapN A^aziyapN

n788,اسو,أَسَا الجُرْحَ,Asw,0,A^asaA AljuroHa

n789,اسو,أسّى بَيْنَهُمْ,Asw,0,A^s~Y bayonahumo

n1287,امو,هُوَيَأْتَمِى بِهِ,Amw,0,huwayaA^otamiY bihi

n1473,اوب,مَآبَةُ البِئْرِ,Awb,0,maA=bapu Albiy^ori

n1493,اوف,آفَتِ البِلَادُ,Awf,0,A=fati AlbilaAdu

n1517,اول,هُوَ مُؤْتَالٌ لِقَوْمِهِ مُقْتَالٌ عَلَيْهِمْ,Awl,2,huwa muw^otaAlN liqawomihi muqotaAlN Ealayohimo

n1616,ايم,أَأَمْتُ المَرْأَةَ,Aym,0,A^aA^amotu AlmaroA^apa

n25403,ضأز,قِسْمَةٌ ضِئْزَى,DA^z,1,qisomapN Diy^ozaY

n25405,ضأل,ضآءل شَخْصَهُ,DA^l,0,DA='l $axoSahu

n25409,ضأل,هُوَ عَلَيْهِ ضُؤْلَانٌ,DA^l,1,huwa Ealayohi Duw^olaAnN

n26135,ضوأ,اِسْتَضَأُتُ بِهِ,DwA^,0,AisotaDaA^utu bihi

n29973,عقفر,عَقْقَرَتْهُ الدَّوَاهِى,Eqfr,0,Eaqoqaratohu Ald~awaAhiY

n9478,حوز,أَحِزِ الإِبِلَ,Hwz,0,A^aHizi AlA_ibila

n23588,صأب,صَئِبَ رَأْسُهُ,SA^b,0,Say^iba raA^osuhu

n23594,صأك,ظَلَّ يُصَائِكُنِى مُنْذُ اليَوْمِ,SA^k,1,Zal~a yuSaAy^ikuniY muno*u Alyawomi

n27136,طيو,مَآءٌ طَامٍ,Tyw,1,maA='N TaAmK

n42431,يأس,مَيْؤُوسٌ مِنْهُ,yA^s,0,mayow^uwsN minohu

n27506,ظأر,هُوَ مُظَائِرٌ لَهَا,ZA^r,0,huwa muZaAy^irN lahaA

n3479,بوأ,بَآءَ إِلَيْهِ,bwA^,0,baA='a A_ilayohi

n3494,بوأ,حَاجَةٌ مُبِيْئَةٌ,bwA^,1,HaAjapN mubiyoy^apN

n3644,بيع,اِسْتَبَعْتُهُ الشَّىْءَ,byE,0,AisotabaEotuhu Al$~aYo'a

n11927,دأب,رَجُلٌ دَؤُوبٌ عَلَى شَىْءٍ,dA^b,1,rajulN daw^uwbN EalaY $aYo'K

n13565,ديك,دِكْ دِكْ,dyk,0,diko diko

n32838,فأل,فَئِلُ اللَّحْمِ,fA^l,0,fay^ilu All~aHomi

n32845,فأم,قَطَعُوهُ فُؤَمًا,fA^m,1,qaTaEuwhu fuw^amFA

n41376,هوأ,هَآءَ بِنَفْسِهِ إِلى المَعَالِى,hwA^,0,haA='a binafosihi A_ilY AlmaEaAliY

n41442,هيأ,يَا هَىْءَ مَا لِى,hyA^,0,yaA haYo'a maA liY

n44326,هنف,يَوْمٌ هِلَّوْفٌ,hnf,1,yawomN hil~awofN

n5081,جثو,جَاَُيْتُ رُكْبَتِى إِلَى رُكْبَتِهِ,jvw,0,jaAuayotu rukobatiY A_ilaY rukobatihi

n36506,كأد,عَقَبَةٌ كَؤُودٌ,kA^d,1,EaqabapN kaw^uwdN

n37383,كيأ,كَآءَ عَنِ الأَمْرِ,kyA^,0,kaA='a Eani AlA^amori

n43117,كمفطش,كَمَا فِيْطُوس,kmfT$,0,kamaA fiyoTuws

n37751,لطأ,لَا طِئَةٌ,lTA^,1,laA Tiy^apN

n43193,لأم,لَآءَمْتُ بَيْنَ القَوْمِ,lA^m,0,laA='amotu bayona Alqawomi

n43202,لأم,رِيشٌ مُتَلَائِمٌ,lA^m,1,riy$N mutalaAy^imN

n43230,لثو,الحُرُوفُ اللِّتَوِيَّةُ,lvw,1,AlHuruwfu All~itawiy~apu

n43433,لوك,أَلِكْنِى إِلَيْهِ,lwk,0,A^alikoniY A_ilayohi

n38391,مراء,مَرُؤَ الطَّعَامُ,mrA',0,maruw^a AlT~aEaAmu

